zip,exante_share_baseline,exante_share_alt2,exante_share_alt1
1510,.03299585,.024783956,.022463616
1516,.032271285,.022654701,.018200202
1519,.026758196,.022170993,.01412608
1520,.030770168,.023637161,.020367807
1521,.037787493,.031902742,.02111437
1522,.020620355,.020728754,.018321261
1523,.027623102,.021856489,.016865594
1524,.031493612,.025948752,.023290282
1527,.031689685,.024841767,.02175297
1532,.02680633,.020206207,.018275725
1534,.026953124,.020769568,.01899215
1536,.037150618,.027854986,.021573603
1537,.045121521,.03445974,.025277436
1540,.035785917,.024791533,.019888522
1543,.031327233,.022853037,.022056075
1545,.029218886,.02229126,.020075805
1550,.027558802,.022977049,.022506302
1560,.026149606,.031636484,.032928944
1562,.028704667,.022211604,.021002386
1564,.023164501,.017812612,.016396333
1566,.034114722,.023281377,.021676892
1568,.022414908,.018080166,.01663037
1569,.035738867,.024014836,.019461744
1570,.026595805,.022582414,.021121884
1571,.026956838,.023312628,.020147018
1581,.023008948,.017250115,.013617154
1583,.024178464,.022545135,.02215256
1585,.036376402,.025522584,.022104915
1588,.029172922,.02406423,.023453815
1590,.024445295,.018540397,.018995706
1602,.033243932,.027242556,.02444548
1603,.031360116,.027883867,.022853769
1604,.02944576,.026181832,.020107919
1605,.024306279,.021891836,.016037039
1606,.034089815,.031856608,.026209375
1607,.032340959,.02833367,.025701858
1609,.019733761,.0175262,.016502634
1610,.015324855,.015885171,.013204225
1612,.020050399,.021361815,.018181818
1701,.028085595,.023816638,.021464534
1702,.026071576,.02265189,.017713957
1719,.025514033,.02278395,.017454956
